MemberID,FullName,MembershipType,VisitCount,ClassesAttended,PTSessionCount,EngagementSegment
146,"Pulse Member 146",Basic,4,2,0,"Moderately Active"
147,"Pulse Member 147",Basic,4,2,0,"Moderately Active"
148,"Pulse Member 148",Basic,4,2,0,"Moderately Active"
150,"Pulse Member 150",Premium,4,2,1,"Moderately Active"
598,"Pulse Member 598",Basic,4,2,0,"Moderately Active"
152,"Pulse Member 152",Premium,4,2,0,"Moderately Active"
153,"Pulse Member 153",Student,4,2,0,"Moderately Active"
154,"Pulse Member 154",Student,4,2,0,"Moderately Active"
155,"Pulse Member 155",Student,4,2,1,"Moderately Active"
156,"Pulse Member 156",Basic,4,2,0,"Moderately Active"
157,"Pulse Member 157",Basic,4,2,0,"Moderately Active"
158,"Pulse Member 158",Basic,4,2,0,"Moderately Active"
159,"Pulse Member 159",Basic,4,2,0,"Moderately Active"
160,"Pulse Member 160",Premium,4,2,1,"Moderately Active"
161,"Pulse Member 161",Premium,4,2,0,"Moderately Active"
162,"Pulse Member 162",Premium,4,2,0,"Moderately Active"
163,"Pulse Member 163",Student,4,2,0,"Moderately Active"
164,"Pulse Member 164",Student,4,2,0,"Moderately Active"
165,"Pulse Member 165",Student,4,2,1,"Moderately Active"
599,"Pulse Member 599",Basic,4,2,0,"Moderately Active"
167,"Pulse Member 167",Basic,4,2,0,"Moderately Active"
168,"Pulse Member 168",Basic,4,2,0,"Moderately Active"
169,"Pulse Member 169",Basic,4,2,0,"Moderately Active"
170,"Pulse Member 170",Premium,4,2,1,"Moderately Active"
171,"Pulse Member 171",Premium,4,2,0,"Moderately Active"
172,"Pulse Member 172",Premium,4,2,0,"Moderately Active"
173,"Pulse Member 173",Student,4,2,0,"Moderately Active"
174,"Pulse Member 174",Student,4,2,0,"Moderately Active"
175,"Pulse Member 175",Student,4,2,1,"Moderately Active"
176,"Pulse Member 176",Basic,4,2,0,"Moderately Active"
177,"Pulse Member 177",Basic,4,2,0,"Moderately Active"
178,"Pulse Member 178",Basic,4,2,0,"Moderately Active"
179,"Pulse Member 179",Basic,4,2,0,"Moderately Active"
180,"Pulse Member 180",Premium,4,2,1,"Moderately Active"
181,"Pulse Member 181",Premium,4,2,0,"Moderately Active"
182,"Pulse Member 182",Premium,4,2,0,"Moderately Active"
183,"Pulse Member 183",Student,4,2,0,"Moderately Active"
184,"Pulse Member 184",Student,4,2,0,"Moderately Active"
185,"Pulse Member 185",Student,4,2,1,"Moderately Active"
186,"Pulse Member 186",Basic,4,2,0,"Moderately Active"
187,"Pulse Member 187",Basic,4,2,0,"Moderately Active"
188,"Pulse Member 188",Basic,4,2,0,"Moderately Active"
189,"Pulse Member 189",Basic,4,2,0,"Moderately Active"
190,"Pulse Member 190",Premium,4,2,1,"Moderately Active"
191,"Pulse Member 191",Premium,4,2,0,"Moderately Active"
192,"Pulse Member 192",Premium,4,2,0,"Moderately Active"
193,"Pulse Member 193",Student,4,2,0,"Moderately Active"
195,"Pulse Member 195",Student,4,2,1,"Moderately Active"
196,"Pulse Member 196",Basic,4,2,0,"Moderately Active"
197,"Pulse Member 197",Basic,4,2,0,"Moderately Active"
198,"Pulse Member 198",Basic,4,2,0,"Moderately Active"
199,"Pulse Member 199",Basic,4,2,0,"Moderately Active"
200,"Pulse Member 200",Premium,4,2,1,"Moderately Active"
201,"Pulse Member 201",Premium,4,2,0,"Moderately Active"
202,"Pulse Member 202",Premium,4,2,0,"Moderately Active"
203,"Pulse Member 203",Student,4,2,0,"Moderately Active"
204,"Pulse Member 204",Student,4,2,0,"Moderately Active"
205,"Pulse Member 205",Student,4,2,1,"Moderately Active"
206,"Pulse Member 206",Basic,4,2,0,"Moderately Active"
207,"Pulse Member 207",Basic,4,2,0,"Moderately Active"
208,"Pulse Member 208",Basic,4,2,0,"Moderately Active"
209,"Pulse Member 209",Basic,4,2,0,"Moderately Active"
210,"Pulse Member 210",Premium,4,2,1,"Moderately Active"
211,"Pulse Member 211",Premium,4,2,0,"Moderately Active"
212,"Pulse Member 212",Premium,4,2,0,"Moderately Active"
213,"Pulse Member 213",Student,4,2,0,"Moderately Active"
214,"Pulse Member 214",Student,4,2,0,"Moderately Active"
215,"Pulse Member 215",Student,4,2,1,"Moderately Active"
216,"Pulse Member 216",Basic,4,2,0,"Moderately Active"
217,"Pulse Member 217",Basic,4,2,0,"Moderately Active"
218,"Pulse Member 218",Basic,4,2,0,"Moderately Active"
219,"Pulse Member 219",Basic,4,2,0,"Moderately Active"
220,"Pulse Member 220",Premium,4,2,1,"Moderately Active"
221,"Pulse Member 221",Premium,4,2,0,"Moderately Active"
222,"Pulse Member 222",Premium,4,2,0,"Moderately Active"
223,"Pulse Member 223",Student,4,2,0,"Moderately Active"
224,"Pulse Member 224",Student,4,2,0,"Moderately Active"
225,"Pulse Member 225",Student,4,2,1,"Moderately Active"
226,"Pulse Member 226",Basic,4,2,0,"Moderately Active"
227,"Pulse Member 227",Basic,4,2,0,"Moderately Active"
228,"Pulse Member 228",Basic,4,2,0,"Moderately Active"
229,"Pulse Member 229",Basic,4,2,0,"Moderately Active"
230,"Pulse Member 230",Premium,4,2,1,"Moderately Active"
231,"Pulse Member 231",Premium,4,2,0,"Moderately Active"
232,"Pulse Member 232",Premium,4,2,0,"Moderately Active"
233,"Pulse Member 233",Student,4,2,0,"Moderately Active"
234,"Pulse Member 234",Student,4,2,0,"Moderately Active"
235,"Pulse Member 235",Student,4,2,1,"Moderately Active"
236,"Pulse Member 236",Basic,4,2,0,"Moderately Active"
237,"Pulse Member 237",Basic,4,2,0,"Moderately Active"
238,"Pulse Member 238",Basic,4,2,0,"Moderately Active"
239,"Pulse Member 239",Basic,4,2,0,"Moderately Active"
240,"Pulse Member 240",Premium,4,2,1,"Moderately Active"
241,"Pulse Member 241",Premium,4,2,0,"Moderately Active"
242,"Pulse Member 242",Premium,4,2,0,"Moderately Active"
243,"Pulse Member 243",Student,4,2,0,"Moderately Active"
244,"Pulse Member 244",Student,4,2,0,"Moderately Active"
245,"Pulse Member 245",Student,4,2,1,"Moderately Active"
246,"Pulse Member 246",Basic,4,2,0,"Moderately Active"
247,"Pulse Member 247",Basic,4,2,0,"Moderately Active"
248,"Pulse Member 248",Basic,4,2,0,"Moderately Active"
600,"Pulse Member 600",Premium,4,2,1,"Moderately Active"
250,"Pulse Member 250",Premium,4,2,1,"Moderately Active"
251,"Pulse Member 251",Premium,4,2,0,"Moderately Active"
252,"Pulse Member 252",Premium,4,2,0,"Moderately Active"
253,"Pulse Member 253",Student,4,2,0,"Moderately Active"
254,"Pulse Member 254",Student,4,2,0,"Moderately Active"
255,"Pulse Member 255",Student,4,2,1,"Moderately Active"
256,"Pulse Member 256",Basic,4,2,0,"Moderately Active"
257,"Pulse Member 257",Basic,4,2,0,"Moderately Active"
258,"Pulse Member 258",Basic,4,2,0,"Moderately Active"
259,"Pulse Member 259",Basic,4,2,0,"Moderately Active"
260,"Pulse Member 260",Premium,4,2,1,"Moderately Active"
261,"Pulse Member 261",Premium,4,2,0,"Moderately Active"
262,"Pulse Member 262",Premium,4,2,0,"Moderately Active"
263,"Pulse Member 263",Student,4,2,0,"Moderately Active"
264,"Pulse Member 264",Student,4,2,0,"Moderately Active"
265,"Pulse Member 265",Student,4,2,1,"Moderately Active"
266,"Pulse Member 266",Basic,4,2,0,"Moderately Active"
267,"Pulse Member 267",Basic,4,2,0,"Moderately Active"
268,"Pulse Member 268",Basic,4,2,0,"Moderately Active"
269,"Pulse Member 269",Basic,4,2,0,"Moderately Active"
270,"Pulse Member 270",Premium,4,2,1,"Moderately Active"
271,"Pulse Member 271",Premium,4,2,0,"Moderately Active"
272,"Pulse Member 272",Premium,4,2,0,"Moderately Active"
273,"Pulse Member 273",Student,4,2,0,"Moderately Active"
274,"Pulse Member 274",Student,4,2,0,"Moderately Active"
275,"Pulse Member 275",Student,4,2,1,"Moderately Active"
276,"Pulse Member 276",Basic,4,2,0,"Moderately Active"
277,"Pulse Member 277",Basic,4,2,0,"Moderately Active"
278,"Pulse Member 278",Basic,4,2,0,"Moderately Active"
279,"Pulse Member 279",Basic,4,2,0,"Moderately Active"
280,"Pulse Member 280",Premium,4,2,1,"Moderately Active"
281,"Pulse Member 281",Premium,4,2,0,"Moderately Active"
282,"Pulse Member 282",Premium,4,2,0,"Moderately Active"
283,"Pulse Member 283",Student,4,2,0,"Moderately Active"
284,"Pulse Member 284",Student,4,2,0,"Moderately Active"
285,"Pulse Member 285",Student,4,2,1,"Moderately Active"
286,"Pulse Member 286",Basic,4,2,0,"Moderately Active"
287,"Pulse Member 287",Basic,4,2,0,"Moderately Active"
288,"Pulse Member 288",Basic,4,2,0,"Moderately Active"
289,"Pulse Member 289",Basic,4,2,0,"Moderately Active"
290,"Pulse Member 290",Premium,4,2,1,"Moderately Active"
292,"Pulse Member 292",Premium,4,2,0,"Moderately Active"
293,"Pulse Member 293",Student,4,2,0,"Moderately Active"
294,"Pulse Member 294",Student,4,2,0,"Moderately Active"
295,"Pulse Member 295",Student,4,2,1,"Moderately Active"
296,"Pulse Member 296",Basic,4,2,0,"Moderately Active"
297,"Pulse Member 297",Basic,4,2,0,"Moderately Active"
299,"Pulse Member 299",Basic,4,2,0,"Moderately Active"
300,"Pulse Member 300",Premium,4,2,1,"Moderately Active"
301,"Pulse Member 301",Premium,4,2,0,"Moderately Active"
302,"Pulse Member 302",Premium,4,2,0,"Moderately Active"
303,"Pulse Member 303",Student,4,2,0,"Moderately Active"
304,"Pulse Member 304",Student,4,2,0,"Moderately Active"
305,"Pulse Member 305",Student,4,2,1,"Moderately Active"
306,"Pulse Member 306",Basic,4,2,0,"Moderately Active"
307,"Pulse Member 307",Basic,4,2,0,"Moderately Active"
308,"Pulse Member 308",Basic,4,2,0,"Moderately Active"
309,"Pulse Member 309",Basic,4,2,0,"Moderately Active"
310,"Pulse Member 310",Premium,4,2,1,"Moderately Active"
311,"Pulse Member 311",Premium,4,2,0,"Moderately Active"
312,"Pulse Member 312",Premium,4,2,0,"Moderately Active"
313,"Pulse Member 313",Student,4,2,0,"Moderately Active"
314,"Pulse Member 314",Student,4,2,0,"Moderately Active"
315,"Pulse Member 315",Student,4,2,1,"Moderately Active"
316,"Pulse Member 316",Basic,4,2,0,"Moderately Active"
317,"Pulse Member 317",Basic,4,2,0,"Moderately Active"
318,"Pulse Member 318",Basic,4,2,0,"Moderately Active"
319,"Pulse Member 319",Basic,4,2,0,"Moderately Active"
320,"Pulse Member 320",Premium,4,2,1,"Moderately Active"
321,"Pulse Member 321",Premium,4,2,0,"Moderately Active"
322,"Pulse Member 322",Premium,4,2,0,"Moderately Active"
323,"Pulse Member 323",Student,4,2,0,"Moderately Active"
324,"Pulse Member 324",Student,4,2,0,"Moderately Active"
325,"Pulse Member 325",Student,4,2,1,"Moderately Active"
326,"Pulse Member 326",Basic,4,2,0,"Moderately Active"
327,"Pulse Member 327",Basic,4,2,0,"Moderately Active"
328,"Pulse Member 328",Basic,4,2,0,"Moderately Active"
329,"Pulse Member 329",Basic,4,2,0,"Moderately Active"
330,"Pulse Member 330",Premium,4,2,1,"Moderately Active"
331,"Pulse Member 331",Premium,4,2,0,"Moderately Active"
333,"Pulse Member 333",Student,4,2,0,"Moderately Active"
334,"Pulse Member 334",Student,4,2,0,"Moderately Active"
335,"Pulse Member 335",Student,4,2,1,"Moderately Active"
336,"Pulse Member 336",Basic,4,2,0,"Moderately Active"
337,"Pulse Member 337",Basic,4,2,0,"Moderately Active"
338,"Pulse Member 338",Basic,4,2,0,"Moderately Active"
339,"Pulse Member 339",Basic,4,2,0,"Moderately Active"
340,"Pulse Member 340",Premium,4,2,1,"Moderately Active"
341,"Pulse Member 341",Premium,4,2,0,"Moderately Active"
342,"Pulse Member 342",Premium,4,2,0,"Moderately Active"
343,"Pulse Member 343",Student,4,2,0,"Moderately Active"
344,"Pulse Member 344",Student,4,2,0,"Moderately Active"
345,"Pulse Member 345",Student,4,2,1,"Moderately Active"
346,"Pulse Member 346",Basic,4,2,0,"Moderately Active"
347,"Pulse Member 347",Basic,4,2,0,"Moderately Active"
348,"Pulse Member 348",Basic,4,2,0,"Moderately Active"
349,"Pulse Member 349",Basic,4,2,0,"Moderately Active"
350,"Pulse Member 350",Premium,4,2,1,"Moderately Active"
351,"Pulse Member 351",Premium,4,2,0,"Moderately Active"
352,"Pulse Member 352",Premium,4,2,0,"Moderately Active"
353,"Pulse Member 353",Student,4,2,0,"Moderately Active"
354,"Pulse Member 354",Student,4,2,0,"Moderately Active"
355,"Pulse Member 355",Student,4,2,1,"Moderately Active"
356,"Pulse Member 356",Basic,4,2,0,"Moderately Active"
357,"Pulse Member 357",Basic,4,2,0,"Moderately Active"
358,"Pulse Member 358",Basic,4,2,0,"Moderately Active"
359,"Pulse Member 359",Basic,4,2,0,"Moderately Active"
360,"Pulse Member 360",Premium,4,2,1,"Moderately Active"
361,"Pulse Member 361",Premium,4,2,0,"Moderately Active"
362,"Pulse Member 362",Premium,4,2,0,"Moderately Active"
363,"Pulse Member 363",Student,4,2,0,"Moderately Active"
364,"Pulse Member 364",Student,4,2,0,"Moderately Active"
365,"Pulse Member 365",Student,4,2,1,"Moderately Active"
366,"Pulse Member 366",Basic,4,2,0,"Moderately Active"
367,"Pulse Member 367",Basic,4,2,0,"Moderately Active"
368,"Pulse Member 368",Basic,4,2,0,"Moderately Active"
369,"Pulse Member 369",Basic,4,2,0,"Moderately Active"
370,"Pulse Member 370",Premium,4,2,1,"Moderately Active"
371,"Pulse Member 371",Premium,4,2,0,"Moderately Active"
372,"Pulse Member 372",Premium,4,2,0,"Moderately Active"
373,"Pulse Member 373",Student,4,2,0,"Moderately Active"
374,"Pulse Member 374",Student,4,2,0,"Moderately Active"
375,"Pulse Member 375",Student,4,2,1,"Moderately Active"
376,"Pulse Member 376",Basic,4,2,0,"Moderately Active"
377,"Pulse Member 377",Basic,4,2,0,"Moderately Active"
378,"Pulse Member 378",Basic,4,2,0,"Moderately Active"
379,"Pulse Member 379",Basic,4,2,0,"Moderately Active"
380,"Pulse Member 380",Premium,4,2,1,"Moderately Active"
381,"Pulse Member 381",Premium,4,2,0,"Moderately Active"
382,"Pulse Member 382",Premium,4,2,0,"Moderately Active"
383,"Pulse Member 383",Student,4,2,0,"Moderately Active"
384,"Pulse Member 384",Student,4,2,0,"Moderately Active"
385,"Pulse Member 385",Student,4,2,1,"Moderately Active"
386,"Pulse Member 386",Basic,4,2,0,"Moderately Active"
387,"Pulse Member 387",Basic,4,2,0,"Moderately Active"
389,"Pulse Member 389",Basic,4,2,0,"Moderately Active"
390,"Pulse Member 390",Premium,4,2,1,"Moderately Active"
391,"Pulse Member 391",Premium,4,2,0,"Moderately Active"
392,"Pulse Member 392",Premium,4,2,0,"Moderately Active"
393,"Pulse Member 393",Student,4,2,0,"Moderately Active"
394,"Pulse Member 394",Student,4,2,0,"Moderately Active"
395,"Pulse Member 395",Student,4,2,1,"Moderately Active"
396,"Pulse Member 396",Basic,4,2,0,"Moderately Active"
397,"Pulse Member 397",Basic,4,2,0,"Moderately Active"
398,"Pulse Member 398",Basic,4,2,0,"Moderately Active"
399,"Pulse Member 399",Basic,4,2,0,"Moderately Active"
400,"Pulse Member 400",Premium,4,2,1,"Moderately Active"
401,"Pulse Member 401",Premium,4,2,0,"Moderately Active"
402,"Pulse Member 402",Premium,4,2,0,"Moderately Active"
403,"Pulse Member 403",Student,4,2,0,"Moderately Active"
404,"Pulse Member 404",Student,4,2,0,"Moderately Active"
405,"Pulse Member 405",Student,4,2,1,"Moderately Active"
406,"Pulse Member 406",Basic,4,2,0,"Moderately Active"
407,"Pulse Member 407",Basic,4,2,0,"Moderately Active"
408,"Pulse Member 408",Basic,4,2,0,"Moderately Active"
409,"Pulse Member 409",Basic,4,2,0,"Moderately Active"
410,"Pulse Member 410",Premium,4,2,1,"Moderately Active"
411,"Pulse Member 411",Premium,4,2,0,"Moderately Active"
412,"Pulse Member 412",Premium,4,2,0,"Moderately Active"
413,"Pulse Member 413",Student,4,2,0,"Moderately Active"
414,"Pulse Member 414",Student,4,2,0,"Moderately Active"
416,"Pulse Member 416",Basic,4,2,0,"Moderately Active"
417,"Pulse Member 417",Basic,4,2,0,"Moderately Active"
418,"Pulse Member 418",Basic,4,2,0,"Moderately Active"
419,"Pulse Member 419",Basic,4,2,0,"Moderately Active"
420,"Pulse Member 420",Premium,4,2,1,"Moderately Active"
421,"Pulse Member 421",Premium,4,2,0,"Moderately Active"
422,"Pulse Member 422",Premium,4,2,0,"Moderately Active"
423,"Pulse Member 423",Student,4,2,0,"Moderately Active"
424,"Pulse Member 424",Student,4,2,0,"Moderately Active"
425,"Pulse Member 425",Student,4,2,1,"Moderately Active"
426,"Pulse Member 426",Basic,4,2,0,"Moderately Active"
427,"Pulse Member 427",Basic,4,2,0,"Moderately Active"
428,"Pulse Member 428",Basic,4,2,0,"Moderately Active"
429,"Pulse Member 429",Basic,4,2,0,"Moderately Active"
430,"Pulse Member 430",Premium,4,2,1,"Moderately Active"
431,"Pulse Member 431",Premium,4,2,0,"Moderately Active"
432,"Pulse Member 432",Premium,4,2,0,"Moderately Active"
433,"Pulse Member 433",Student,4,2,0,"Moderately Active"
434,"Pulse Member 434",Student,4,2,0,"Moderately Active"
435,"Pulse Member 435",Student,4,2,1,"Moderately Active"
436,"Pulse Member 436",Basic,4,2,0,"Moderately Active"
437,"Pulse Member 437",Basic,4,2,0,"Moderately Active"
438,"Pulse Member 438",Basic,4,2,0,"Moderately Active"
439,"Pulse Member 439",Basic,4,2,0,"Moderately Active"
440,"Pulse Member 440",Premium,4,2,1,"Moderately Active"
441,"Pulse Member 441",Premium,4,2,0,"Moderately Active"
442,"Pulse Member 442",Premium,4,2,0,"Moderately Active"
443,"Pulse Member 443",Student,4,2,0,"Moderately Active"
444,"Pulse Member 444",Student,4,2,0,"Moderately Active"
445,"Pulse Member 445",Student,4,2,1,"Moderately Active"
446,"Pulse Member 446",Basic,4,2,0,"Moderately Active"
448,"Pulse Member 448",Basic,4,2,0,"Moderately Active"
449,"Pulse Member 449",Basic,4,2,0,"Moderately Active"
450,"Pulse Member 450",Premium,4,2,1,"Moderately Active"
451,"Pulse Member 451",Premium,4,2,0,"Moderately Active"
452,"Pulse Member 452",Premium,4,2,0,"Moderately Active"
453,"Pulse Member 453",Student,4,2,0,"Moderately Active"
454,"Pulse Member 454",Student,4,2,0,"Moderately Active"
455,"Pulse Member 455",Student,4,2,1,"Moderately Active"
456,"Pulse Member 456",Basic,4,2,0,"Moderately Active"
457,"Pulse Member 457",Basic,4,2,0,"Moderately Active"
458,"Pulse Member 458",Basic,4,2,0,"Moderately Active"
459,"Pulse Member 459",Basic,4,2,0,"Moderately Active"
460,"Pulse Member 460",Premium,4,2,1,"Moderately Active"
461,"Pulse Member 461",Premium,4,2,0,"Moderately Active"
462,"Pulse Member 462",Premium,4,2,0,"Moderately Active"
463,"Pulse Member 463",Student,4,2,0,"Moderately Active"
464,"Pulse Member 464",Student,4,2,0,"Moderately Active"
465,"Pulse Member 465",Student,4,2,1,"Moderately Active"
