MemberID,FullName,MembershipType,LastVisitTime,LastClassAttendance,LastPTSession,RecentFailedPayments,ChurnRiskScore,RiskBand,RiskRank
124,"Pulse Member 124",Student,"2025-06-28 18:00:00","2025-05-22 09:00:00",NULL,1,5,"Medium Risk",26
211,"Pulse Member 211",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,1,5,"Medium Risk",27
253,"Pulse Member 253",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,1,5,"Medium Risk",28
254,"Pulse Member 254",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,1,5,"Medium Risk",29
382,"Pulse Member 382",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,1,5,"Medium Risk",30
511,"Pulse Member 511",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,1,5,"Medium Risk",31
512,"Pulse Member 512",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,1,5,"Medium Risk",32
554,"Pulse Member 554",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,1,5,"Medium Risk",33
13,"Grace Young",Premium,"2025-05-18 07:00:00","2025-02-05 17:30:00","2025-04-23 11:00:00",0,5,"Medium Risk",34
19,"Ella Baker",Premium,"2025-05-19 18:00:00","2025-05-08 17:30:00","2025-03-12 13:00:00",0,5,"Medium Risk",35
24,"Leo Mitchell",Premium,"2025-05-21 07:00:00","2025-05-08 17:30:00","2025-04-16 13:00:00",0,5,"Medium Risk",36
30,"Tom Evans",Premium,"2025-05-23 18:00:00","2025-05-22 09:00:00","2025-06-18 13:00:00",0,5,"Medium Risk",37
167,"Pulse Member 167",Basic,"2025-06-26 18:00:00","2025-06-05 06:30:00",NULL,1,4,"Medium Risk",38
168,"Pulse Member 168",Basic,"2025-06-27 18:00:00","2025-06-19 18:30:00",NULL,1,4,"Medium Risk",39
340,"Pulse Member 340",Premium,"2025-06-24 18:00:00","2025-05-22 09:00:00","2025-05-22 10:00:00",1,4,"Medium Risk",40
426,"Pulse Member 426",Basic,"2025-06-25 18:00:00","2025-06-19 18:30:00",NULL,1,4,"Medium Risk",41
468,"Pulse Member 468",Basic,"2025-06-27 18:00:00","2025-06-19 18:30:00",NULL,1,4,"Medium Risk",42
555,"Pulse Member 555",Student,"2025-06-24 18:00:00","2025-05-08 17:30:00","2025-05-17 10:00:00",1,4,"Medium Risk",43
37,"Pulse Member 037",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",44
46,"Pulse Member 046",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",45
49,"Pulse Member 049",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",46
56,"Pulse Member 056",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",47
57,"Pulse Member 057",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",48
58,"Pulse Member 058",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",49
67,"Pulse Member 067",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",50
68,"Pulse Member 068",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",51
69,"Pulse Member 069",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",52
76,"Pulse Member 076",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",53
79,"Pulse Member 079",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",54
86,"Pulse Member 086",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",55
87,"Pulse Member 087",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",56
88,"Pulse Member 088",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",57
98,"Pulse Member 098",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",58
99,"Pulse Member 099",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",59
106,"Pulse Member 106",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",60
109,"Pulse Member 109",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",61
116,"Pulse Member 116",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",62
117,"Pulse Member 117",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",63
118,"Pulse Member 118",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",64
127,"Pulse Member 127",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",65
128,"Pulse Member 128",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",66
129,"Pulse Member 129",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",67
136,"Pulse Member 136",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",68
139,"Pulse Member 139",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",69
146,"Pulse Member 146",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",70
147,"Pulse Member 147",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",71
148,"Pulse Member 148",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",72
157,"Pulse Member 157",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",73
158,"Pulse Member 158",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",74
159,"Pulse Member 159",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",75
166,"Pulse Member 166",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",76
169,"Pulse Member 169",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",77
176,"Pulse Member 176",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",78
177,"Pulse Member 177",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",79
178,"Pulse Member 178",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",80
187,"Pulse Member 187",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",81
188,"Pulse Member 188",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",82
189,"Pulse Member 189",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",83
196,"Pulse Member 196",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",84
199,"Pulse Member 199",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",85
206,"Pulse Member 206",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",86
207,"Pulse Member 207",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",87
208,"Pulse Member 208",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",88
217,"Pulse Member 217",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",89
218,"Pulse Member 218",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",90
219,"Pulse Member 219",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",91
226,"Pulse Member 226",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",92
229,"Pulse Member 229",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",93
236,"Pulse Member 236",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",94
237,"Pulse Member 237",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",95
238,"Pulse Member 238",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",96
247,"Pulse Member 247",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",97
248,"Pulse Member 248",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",98
249,"Pulse Member 249",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",99
256,"Pulse Member 256",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",100
259,"Pulse Member 259",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",101
266,"Pulse Member 266",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",102
267,"Pulse Member 267",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",103
268,"Pulse Member 268",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",104
277,"Pulse Member 277",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",105
278,"Pulse Member 278",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",106
279,"Pulse Member 279",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",107
286,"Pulse Member 286",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",108
289,"Pulse Member 289",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",109
307,"Pulse Member 307",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",110
308,"Pulse Member 308",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",111
309,"Pulse Member 309",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",112
316,"Pulse Member 316",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",113
319,"Pulse Member 319",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",114
326,"Pulse Member 326",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",115
327,"Pulse Member 327",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",116
328,"Pulse Member 328",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",117
337,"Pulse Member 337",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",118
338,"Pulse Member 338",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",119
346,"Pulse Member 346",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",120
349,"Pulse Member 349",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",121
356,"Pulse Member 356",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",122
357,"Pulse Member 357",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",123
358,"Pulse Member 358",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",124
367,"Pulse Member 367",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",125
368,"Pulse Member 368",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",126
369,"Pulse Member 369",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",127
376,"Pulse Member 376",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",128
379,"Pulse Member 379",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",129
386,"Pulse Member 386",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",130
387,"Pulse Member 387",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",131
397,"Pulse Member 397",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",132
398,"Pulse Member 398",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",133
399,"Pulse Member 399",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",134
406,"Pulse Member 406",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",135
409,"Pulse Member 409",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",136
416,"Pulse Member 416",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",137
417,"Pulse Member 417",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",138
418,"Pulse Member 418",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",139
427,"Pulse Member 427",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",140
428,"Pulse Member 428",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",141
429,"Pulse Member 429",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",142
436,"Pulse Member 436",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",143
439,"Pulse Member 439",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",144
446,"Pulse Member 446",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",145
448,"Pulse Member 448",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",146
457,"Pulse Member 457",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",147
458,"Pulse Member 458",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",148
459,"Pulse Member 459",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",149
466,"Pulse Member 466",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",150
476,"Pulse Member 476",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",151
477,"Pulse Member 477",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",152
478,"Pulse Member 478",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",153
487,"Pulse Member 487",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",154
488,"Pulse Member 488",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",155
489,"Pulse Member 489",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",156
496,"Pulse Member 496",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",157
498,"Pulse Member 498",Basic,"2025-06-27 18:00:00","2025-03-20 18:30:00",NULL,0,4,"Medium Risk",158
499,"Pulse Member 499",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",159
506,"Pulse Member 506",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",160
507,"Pulse Member 507",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",161
508,"Pulse Member 508",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",162
517,"Pulse Member 517",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",163
518,"Pulse Member 518",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",164
519,"Pulse Member 519",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",165
526,"Pulse Member 526",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",166
529,"Pulse Member 529",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",167
536,"Pulse Member 536",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",168
537,"Pulse Member 537",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",169
538,"Pulse Member 538",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",170
547,"Pulse Member 547",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",171
548,"Pulse Member 548",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",172
549,"Pulse Member 549",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",173
556,"Pulse Member 556",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",174
559,"Pulse Member 559",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",175
566,"Pulse Member 566",Basic,"2025-06-25 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",176
567,"Pulse Member 567",Basic,"2025-06-26 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",177
568,"Pulse Member 568",Basic,"2025-06-27 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",178
577,"Pulse Member 577",Basic,"2025-06-26 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",179
578,"Pulse Member 578",Basic,"2025-06-27 18:00:00","2025-04-17 18:00:00",NULL,0,4,"Medium Risk",180
579,"Pulse Member 579",Basic,"2025-06-28 18:00:00","2025-05-08 17:30:00",NULL,0,4,"Medium Risk",181
586,"Pulse Member 586",Basic,"2025-06-25 18:00:00","2025-05-22 09:00:00",NULL,0,4,"Medium Risk",182
589,"Pulse Member 589",Basic,"2025-06-28 18:00:00","2025-04-03 07:00:00",NULL,0,4,"Medium Risk",183
383,"Pulse Member 383",Student,"2025-06-27 18:00:00","2025-06-05 06:30:00",NULL,1,3,"Medium Risk",184
31,"Pulse Member 031",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",185
32,"Pulse Member 032",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",186
33,"Pulse Member 033",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",187
34,"Pulse Member 034",Student,"2025-06-28 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",188
43,"Pulse Member 043",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",189
44,"Pulse Member 044",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",190
51,"Pulse Member 051",Premium,"2025-06-25 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",191
52,"Pulse Member 052",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",192
61,"Pulse Member 061",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",193
62,"Pulse Member 062",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",194
63,"Pulse Member 063",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",195
64,"Pulse Member 064",Student,"2025-06-28 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",196
73,"Pulse Member 073",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",197
74,"Pulse Member 074",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",198
91,"Pulse Member 091",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",199
92,"Pulse Member 092",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",200
93,"Pulse Member 093",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",201
94,"Pulse Member 094",Student,"2025-06-28 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",202
103,"Pulse Member 103",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",203
104,"Pulse Member 104",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",204
111,"Pulse Member 111",Premium,"2025-06-25 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",205
112,"Pulse Member 112",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",206
121,"Pulse Member 121",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",207
122,"Pulse Member 122",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",208
123,"Pulse Member 123",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",209
133,"Pulse Member 133",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",210
134,"Pulse Member 134",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",211
141,"Pulse Member 141",Premium,"2025-06-25 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",212
142,"Pulse Member 142",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",213
151,"Pulse Member 151",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",214
152,"Pulse Member 152",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",215
153,"Pulse Member 153",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",216
154,"Pulse Member 154",Student,"2025-06-28 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",217
163,"Pulse Member 163",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",218
164,"Pulse Member 164",Student,"2025-06-28 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",219
171,"Pulse Member 171",Premium,"2025-06-25 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",220
172,"Pulse Member 172",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",221
181,"Pulse Member 181",Premium,"2025-06-25 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",222
182,"Pulse Member 182",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",223
183,"Pulse Member 183",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",224
184,"Pulse Member 184",Student,"2025-06-28 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",225
193,"Pulse Member 193",Student,"2025-06-27 18:00:00","2025-04-03 07:00:00",NULL,0,3,"Medium Risk",226
201,"Pulse Member 201",Premium,"2025-06-25 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",227
202,"Pulse Member 202",Premium,"2025-06-26 18:00:00","2025-05-22 09:00:00",NULL,0,3,"Medium Risk",228
212,"Pulse Member 212",Premium,"2025-06-26 18:00:00","2025-04-17 18:00:00",NULL,0,3,"Medium Risk",229
213,"Pulse Member 213",Student,"2025-06-27 18:00:00","2025-05-08 17:30:00",NULL,0,3,"Medium Risk",230
