MemberID,FullName,MembershipType,JoinDate,TenureMonths,LifetimePaidRevenue,RevenuePerTenureMonth,RevenueRankWithinMembership
121,"Pulse Member 121",Premium,2024-07-06,12,360.00,30.00,1
122,"Pulse Member 122",Premium,2024-07-13,12,360.00,30.00,1
310,"Pulse Member 310",Premium,2024-07-09,12,360.00,30.00,1
311,"Pulse Member 311",Premium,2024-07-16,12,360.00,30.00,1
312,"Pulse Member 312",Premium,2024-07-23,12,360.00,30.00,1
360,"Pulse Member 360",Premium,2024-07-29,12,360.00,30.00,1
451,"Pulse Member 451",Premium,2024-07-06,12,360.00,30.00,1
452,"Pulse Member 452",Premium,2024-07-13,12,360.00,30.00,1
500,"Pulse Member 500",Premium,2024-07-19,12,360.00,30.00,1
501,"Pulse Member 501",Premium,2024-07-26,12,360.00,30.00,1
592,"Pulse Member 592",Premium,2024-07-03,12,360.00,30.00,1
72,"Pulse Member 072",Premium,2024-06-23,13,360.00,27.69,1
120,"Pulse Member 120",Premium,2024-06-29,13,360.00,27.69,1
260,"Pulse Member 260",Premium,2024-06-19,13,360.00,27.69,1
261,"Pulse Member 261",Premium,2024-06-26,13,360.00,27.69,1
400,"Pulse Member 400",Premium,2024-06-09,13,360.00,27.69,1
401,"Pulse Member 401",Premium,2024-06-16,13,360.00,27.69,1
402,"Pulse Member 402",Premium,2024-06-23,13,360.00,27.69,1
450,"Pulse Member 450",Premium,2024-06-29,13,360.00,27.69,1
541,"Pulse Member 541",Premium,2024-06-06,13,360.00,27.69,1
542,"Pulse Member 542",Premium,2024-06-13,13,360.00,27.69,1
590,"Pulse Member 590",Premium,2024-06-19,13,360.00,27.69,1
591,"Pulse Member 591",Premium,2024-06-26,13,360.00,27.69,1
112,"Pulse Member 112",Premium,2024-05-04,14,360.00,25.71,1
160,"Pulse Member 160",Premium,2024-05-10,14,360.00,25.71,1
161,"Pulse Member 161",Premium,2024-05-17,14,360.00,25.71,1
162,"Pulse Member 162",Premium,2024-05-24,14,360.00,25.71,1
302,"Pulse Member 302",Premium,2024-05-14,14,360.00,25.71,1
490,"Pulse Member 490",Premium,2024-05-10,14,360.00,25.71,1
491,"Pulse Member 491",Premium,2024-05-17,14,360.00,25.71,1
540,"Pulse Member 540",Premium,2024-05-30,14,360.00,25.71,1
60,"Pulse Member 060",Premium,2024-03-31,15,360.00,24.00,1
61,"Pulse Member 061",Premium,2024-04-07,15,360.00,24.00,1
62,"Pulse Member 062",Premium,2024-04-14,15,360.00,24.00,1
110,"Pulse Member 110",Premium,2024-04-20,15,360.00,24.00,1
111,"Pulse Member 111",Premium,2024-04-27,15,360.00,24.00,1
202,"Pulse Member 202",Premium,2024-04-04,15,360.00,24.00,1
250,"Pulse Member 250",Premium,2024-04-10,15,360.00,24.00,1
251,"Pulse Member 251",Premium,2024-04-17,15,360.00,24.00,1
252,"Pulse Member 252",Premium,2024-04-24,15,360.00,24.00,1
390,"Pulse Member 390",Premium,2024-03-31,15,360.00,24.00,1
391,"Pulse Member 391",Premium,2024-04-07,15,360.00,24.00,1
392,"Pulse Member 392",Premium,2024-04-14,15,360.00,24.00,1
580,"Pulse Member 580",Premium,2024-04-10,15,360.00,24.00,1
581,"Pulse Member 581",Premium,2024-04-17,15,360.00,24.00,1
582,"Pulse Member 582",Premium,2024-04-24,15,360.00,24.00,1
150,"Pulse Member 150",Premium,2024-03-01,16,360.00,22.50,1
151,"Pulse Member 151",Premium,2024-03-08,16,360.00,22.50,1
152,"Pulse Member 152",Premium,2024-03-15,16,360.00,22.50,1
200,"Pulse Member 200",Premium,2024-03-21,16,360.00,22.50,1
201,"Pulse Member 201",Premium,2024-03-28,16,360.00,22.50,1
292,"Pulse Member 292",Premium,2024-03-05,16,360.00,22.50,1
480,"Pulse Member 480",Premium,2024-03-01,16,360.00,22.50,1
481,"Pulse Member 481",Premium,2024-03-08,16,360.00,22.50,1
482,"Pulse Member 482",Premium,2024-03-15,16,360.00,22.50,1
52,"Pulse Member 052",Premium,2024-02-04,17,360.00,21.18,1
100,"Pulse Member 100",Premium,2024-02-10,17,360.00,21.18,1
101,"Pulse Member 101",Premium,2024-02-17,17,360.00,21.18,1
102,"Pulse Member 102",Premium,2024-02-24,17,360.00,21.18,1
240,"Pulse Member 240",Premium,2024-01-31,17,360.00,21.18,1
241,"Pulse Member 241",Premium,2024-02-07,17,360.00,21.18,1
242,"Pulse Member 242",Premium,2024-02-14,17,360.00,21.18,1
290,"Pulse Member 290",Premium,2024-02-20,17,360.00,21.18,1
291,"Pulse Member 291",Premium,2024-02-27,17,360.00,21.18,1
431,"Pulse Member 431",Premium,2024-02-17,17,360.00,21.18,1
432,"Pulse Member 432",Premium,2024-02-24,17,360.00,21.18,1
570,"Pulse Member 570",Premium,2024-01-31,17,360.00,21.18,1
571,"Pulse Member 571",Premium,2024-02-07,17,360.00,21.18,1
572,"Pulse Member 572",Premium,2024-02-14,17,360.00,21.18,1
4,"Olivia Brown",Premium,2024-01-29,18,360.00,20.00,1
10,"Mia Harris",Premium,2024-01-07,18,360.00,20.00,1
50,"Pulse Member 050",Premium,2024-01-21,18,360.00,20.00,1
51,"Pulse Member 051",Premium,2024-01-28,18,360.00,20.00,1
190,"Pulse Member 190",Premium,2024-01-11,18,360.00,20.00,1
191,"Pulse Member 191",Premium,2024-01-18,18,360.00,20.00,1
192,"Pulse Member 192",Premium,2024-01-25,18,360.00,20.00,1
1,"Alex Carter",Premium,2024-01-12,18,360.00,20.00,1
330,"Pulse Member 330",Premium,2024-01-01,18,360.00,20.00,1
331,"Pulse Member 331",Premium,2024-01-08,18,360.00,20.00,1
332,"Pulse Member 332",Premium,2024-01-15,18,360.00,20.00,1
380,"Pulse Member 380",Premium,2024-01-21,18,360.00,20.00,1
381,"Pulse Member 381",Premium,2024-01-28,18,360.00,20.00,1
520,"Pulse Member 520",Premium,2024-01-11,18,360.00,20.00,1
521,"Pulse Member 521",Premium,2024-01-18,18,360.00,20.00,1
522,"Pulse Member 522",Premium,2024-01-25,18,360.00,20.00,1
281,"Pulse Member 281",Premium,2024-11-13,8,300.00,37.50,130
470,"Pulse Member 470",Premium,2024-11-16,8,300.00,37.50,130
421,"Pulse Member 421",Premium,2024-11-03,8,300.00,37.50,130
422,"Pulse Member 422",Premium,2024-11-10,8,300.00,37.50,130
280,"Pulse Member 280",Premium,2024-11-06,8,300.00,37.50,130
282,"Pulse Member 282",Premium,2024-11-20,8,300.00,37.50,130
471,"Pulse Member 471",Premium,2024-11-23,8,300.00,37.50,130
141,"Pulse Member 141",Premium,2024-11-23,8,300.00,37.50,130
140,"Pulse Member 140",Premium,2024-11-16,8,300.00,37.50,130
40,"Pulse Member 040",Premium,2024-10-07,9,300.00,33.33,130
41,"Pulse Member 041",Premium,2024-10-14,9,300.00,33.33,130
42,"Pulse Member 042",Premium,2024-10-21,9,300.00,33.33,130
512,"Pulse Member 512",Premium,2024-10-11,9,300.00,33.33,130
511,"Pulse Member 511",Premium,2024-10-04,9,300.00,33.33,130
82,"Pulse Member 082",Premium,2024-09-01,10,300.00,30.00,130
172,"Pulse Member 172",Premium,2024-08-02,11,300.00,27.27,130
600,"Pulse Member 600",Premium,2024-08-28,11,300.00,27.27,130
81,"Pulse Member 081",Premium,2024-08-25,11,300.00,27.27,130
171,"Pulse Member 171",Premium,2024-07-26,12,300.00,25.00,130
170,"Pulse Member 170",Premium,2024-07-19,12,300.00,25.00,130
262,"Pulse Member 262",Premium,2024-07-03,12,300.00,25.00,130
71,"Pulse Member 071",Premium,2024-06-16,13,300.00,23.08,130
70,"Pulse Member 070",Premium,2024-06-09,13,300.00,23.08,130
350,"Pulse Member 350",Premium,2024-05-20,14,300.00,21.43,130
301,"Pulse Member 301",Premium,2024-05-07,14,300.00,21.43,130
442,"Pulse Member 442",Premium,2024-05-04,14,300.00,21.43,130
492,"Pulse Member 492",Premium,2024-05-24,14,300.00,21.43,130
532,"Pulse Member 532",Premium,2024-04-04,15,300.00,20.00,130
300,"Pulse Member 300",Premium,2024-04-30,15,300.00,20.00,130
440,"Pulse Member 440",Premium,2024-04-20,15,300.00,20.00,130
441,"Pulse Member 441",Premium,2024-04-27,15,300.00,20.00,130
531,"Pulse Member 531",Premium,2024-03-28,16,300.00,18.75,130
530,"Pulse Member 530",Premium,2024-03-21,16,300.00,18.75,130
342,"Pulse Member 342",Premium,2024-03-25,16,300.00,18.75,130
341,"Pulse Member 341",Premium,2024-03-18,16,300.00,18.75,130
340,"Pulse Member 340",Premium,2024-03-11,16,300.00,18.75,130
382,"Pulse Member 382",Premium,2024-02-04,17,300.00,17.65,130
7,"Ethan Lee",Premium,2024-02-21,17,300.00,17.65,130
430,"Pulse Member 430",Premium,2024-02-10,17,300.00,17.65,130
472,"Pulse Member 472",Premium,2024-01-05,18,300.00,16.67,130
142,"Pulse Member 142",Premium,2024-01-05,18,300.00,16.67,130
352,"Pulse Member 352",Premium,2024-06-03,13,240.00,18.46,171
212,"Pulse Member 212",Premium,2024-06-13,13,240.00,18.46,171
211,"Pulse Member 211",Premium,2024-06-06,13,240.00,18.46,171
351,"Pulse Member 351",Premium,2024-05-27,14,240.00,17.14,171
210,"Pulse Member 210",Premium,2024-05-30,14,240.00,17.14,171
327,"Pulse Member 327",Basic,2024-11-05,8,180.00,22.50,1
46,"Pulse Member 046",Basic,2024-11-18,8,180.00,22.50,1
47,"Pulse Member 047",Basic,2024-11-25,8,180.00,22.50,1
377,"Pulse Member 377",Basic,2024-11-25,8,180.00,22.50,1
518,"Pulse Member 518",Basic,2024-11-22,8,180.00,22.50,1
517,"Pulse Member 517",Basic,2024-11-15,8,180.00,22.50,1
376,"Pulse Member 376",Basic,2024-11-18,8,180.00,22.50,1
329,"Pulse Member 329",Basic,2024-11-19,8,180.00,22.50,1
186,"Pulse Member 186",Basic,2024-11-08,8,180.00,22.50,1
187,"Pulse Member 187",Basic,2024-11-15,8,180.00,22.50,1
188,"Pulse Member 188",Basic,2024-11-22,8,180.00,22.50,1
328,"Pulse Member 328",Basic,2024-11-12,8,180.00,22.50,1
278,"Pulse Member 278",Basic,2024-10-23,9,180.00,20.00,1
326,"Pulse Member 326",Basic,2024-10-29,9,180.00,20.00,1
228,"Pulse Member 228",Basic,2024-10-03,9,180.00,20.00,1
229,"Pulse Member 229",Basic,2024-10-10,9,180.00,20.00,1
467,"Pulse Member 467",Basic,2024-10-26,9,180.00,20.00,1
466,"Pulse Member 466",Basic,2024-10-19,9,180.00,20.00,1
136,"Pulse Member 136",Basic,2024-10-19,9,180.00,20.00,1
419,"Pulse Member 419",Basic,2024-10-20,9,180.00,20.00,1
418,"Pulse Member 418",Basic,2024-10-13,9,180.00,20.00,1
417,"Pulse Member 417",Basic,2024-10-06,9,180.00,20.00,1
276,"Pulse Member 276",Basic,2024-10-09,9,180.00,20.00,1
277,"Pulse Member 277",Basic,2024-10-16,9,180.00,20.00,1
36,"Pulse Member 036",Basic,2024-09-09,10,180.00,18.00,1
37,"Pulse Member 037",Basic,2024-09-16,10,180.00,18.00,1
319,"Pulse Member 319",Basic,2024-09-10,10,180.00,18.00,1
318,"Pulse Member 318",Basic,2024-09-03,10,180.00,18.00,1
369,"Pulse Member 369",Basic,2024-09-30,10,180.00,18.00,1
368,"Pulse Member 368",Basic,2024-09-23,10,180.00,18.00,1
226,"Pulse Member 226",Basic,2024-09-19,10,180.00,18.00,1
509,"Pulse Member 509",Basic,2024-09-20,10,180.00,18.00,1
227,"Pulse Member 227",Basic,2024-09-26,10,180.00,18.00,1
508,"Pulse Member 508",Basic,2024-09-13,10,180.00,18.00,1
507,"Pulse Member 507",Basic,2024-09-06,10,180.00,18.00,1
367,"Pulse Member 367",Basic,2024-09-16,10,180.00,18.00,1
366,"Pulse Member 366",Basic,2024-09-09,10,180.00,18.00,1
459,"Pulse Member 459",Basic,2024-08-31,10,180.00,18.00,1
179,"Pulse Member 179",Basic,2024-09-20,10,180.00,18.00,1
416,"Pulse Member 416",Basic,2024-09-29,10,180.00,18.00,1
596,"Pulse Member 596",Basic,2024-07-31,11,180.00,16.36,1
549,"Pulse Member 549",Basic,2024-08-01,11,180.00,16.36,1
219,"Pulse Member 219",Basic,2024-08-01,11,180.00,16.36,1
78,"Pulse Member 078",Basic,2024-08-04,11,180.00,16.36,1
79,"Pulse Member 079",Basic,2024-08-11,11,180.00,16.36,1
506,"Pulse Member 506",Basic,2024-08-30,11,180.00,16.36,1
317,"Pulse Member 317",Basic,2024-08-27,11,180.00,16.36,1
316,"Pulse Member 316",Basic,2024-08-20,11,180.00,16.36,1
458,"Pulse Member 458",Basic,2024-08-24,11,180.00,16.36,1
457,"Pulse Member 457",Basic,2024-08-17,11,180.00,16.36,1
456,"Pulse Member 456",Basic,2024-08-10,11,180.00,16.36,1
268,"Pulse Member 268",Basic,2024-08-14,11,180.00,16.36,1
269,"Pulse Member 269",Basic,2024-08-21,11,180.00,16.36,1
409,"Pulse Member 409",Basic,2024-08-11,11,180.00,16.36,1
408,"Pulse Member 408",Basic,2024-08-04,11,180.00,16.36,1
76,"Pulse Member 076",Basic,2024-07-21,12,180.00,15.00,1
406,"Pulse Member 406",Basic,2024-07-21,12,180.00,15.00,1
216,"Pulse Member 216",Basic,2024-07-11,12,180.00,15.00,1
217,"Pulse Member 217",Basic,2024-07-18,12,180.00,15.00,1
218,"Pulse Member 218",Basic,2024-07-25,12,180.00,15.00,1
548,"Pulse Member 548",Basic,2024-07-25,12,180.00,15.00,1
547,"Pulse Member 547",Basic,2024-07-18,12,180.00,15.00,1
546,"Pulse Member 546",Basic,2024-07-11,12,180.00,15.00,1
358,"Pulse Member 358",Basic,2024-07-15,12,180.00,15.00,1
357,"Pulse Member 357",Basic,2024-07-08,12,180.00,15.00,1
77,"Pulse Member 077",Basic,2024-07-28,12,180.00,15.00,1
499,"Pulse Member 499",Basic,2024-07-12,12,180.00,15.00,1
498,"Pulse Member 498",Basic,2024-07-05,12,180.00,15.00,1
359,"Pulse Member 359",Basic,2024-07-22,12,180.00,15.00,1
309,"Pulse Member 309",Basic,2024-07-02,12,180.00,15.00,1
407,"Pulse Member 407",Basic,2024-07-28,12,180.00,15.00,1
399,"Pulse Member 399",Basic,2024-06-02,13,180.00,13.85,1
589,"Pulse Member 589",Basic,2024-06-12,13,180.00,13.85,1
588,"Pulse Member 588",Basic,2024-06-05,13,180.00,13.85,1
306,"Pulse Member 306",Basic,2024-06-11,13,180.00,13.85,1
259,"Pulse Member 259",Basic,2024-06-12,13,180.00,13.85,1
116,"Pulse Member 116",Basic,2024-06-01,13,180.00,13.85,1
117,"Pulse Member 117",Basic,2024-06-08,13,180.00,13.85,1
118,"Pulse Member 118",Basic,2024-06-15,13,180.00,13.85,1
119,"Pulse Member 119",Basic,2024-06-22,13,180.00,13.85,1
308,"Pulse Member 308",Basic,2024-06-25,13,180.00,13.85,1
449,"Pulse Member 449",Basic,2024-06-22,13,180.00,13.85,1
448,"Pulse Member 448",Basic,2024-06-15,13,180.00,13.85,1
447,"Pulse Member 447",Basic,2024-06-08,13,180.00,13.85,1
446,"Pulse Member 446",Basic,2024-06-01,13,180.00,13.85,1
307,"Pulse Member 307",Basic,2024-06-18,13,180.00,13.85,1
166,"Pulse Member 166",Basic,2024-06-21,13,180.00,13.85,1
587,"Pulse Member 587",Basic,2024-05-29,14,180.00,12.86,1
586,"Pulse Member 586",Basic,2024-05-22,14,180.00,12.86,1
398,"Pulse Member 398",Basic,2024-05-26,14,180.00,12.86,1
397,"Pulse Member 397",Basic,2024-05-19,14,180.00,12.86,1
396,"Pulse Member 396",Basic,2024-05-12,14,180.00,12.86,1
206,"Pulse Member 206",Basic,2024-05-02,14,180.00,12.86,1
207,"Pulse Member 207",Basic,2024-05-09,14,180.00,12.86,1
539,"Pulse Member 539",Basic,2024-05-23,14,180.00,12.86,1
538,"Pulse Member 538",Basic,2024-05-16,14,180.00,12.86,1
537,"Pulse Member 537",Basic,2024-05-09,14,180.00,12.86,1
536,"Pulse Member 536",Basic,2024-05-02,14,180.00,12.86,1
349,"Pulse Member 349",Basic,2024-05-13,14,180.00,12.86,1
489,"Pulse Member 489",Basic,2024-05-03,14,180.00,12.86,1
348,"Pulse Member 348",Basic,2024-05-06,14,180.00,12.86,1
159,"Pulse Member 159",Basic,2024-05-03,14,180.00,12.86,1
579,"Pulse Member 579",Basic,2024-04-03,15,180.00,12.00,1
249,"Pulse Member 249",Basic,2024-04-03,15,180.00,12.00,1
347,"Pulse Member 347",Basic,2024-04-29,15,180.00,12.00,1
488,"Pulse Member 488",Basic,2024-04-26,15,180.00,12.00,1
487,"Pulse Member 487",Basic,2024-04-19,15,180.00,12.00,1
486,"Pulse Member 486",Basic,2024-04-12,15,180.00,12.00,1
108,"Pulse Member 108",Basic,2024-04-06,15,180.00,12.00,1
109,"Pulse Member 109",Basic,2024-04-13,15,180.00,12.00,1
346,"Pulse Member 346",Basic,2024-04-22,15,180.00,12.00,1
439,"Pulse Member 439",Basic,2024-04-13,15,180.00,12.00,1
438,"Pulse Member 438",Basic,2024-04-06,15,180.00,12.00,1
156,"Pulse Member 156",Basic,2024-04-12,15,180.00,12.00,1
157,"Pulse Member 157",Basic,2024-04-19,15,180.00,12.00,1
158,"Pulse Member 158",Basic,2024-04-26,15,180.00,12.00,1
198,"Pulse Member 198",Basic,2024-03-07,16,180.00,11.25,1
199,"Pulse Member 199",Basic,2024-03-14,16,180.00,11.25,1
578,"Pulse Member 578",Basic,2024-03-27,16,180.00,11.25,1
577,"Pulse Member 577",Basic,2024-03-20,16,180.00,11.25,1
576,"Pulse Member 576",Basic,2024-03-13,16,180.00,11.25,1
389,"Pulse Member 389",Basic,2024-03-24,16,180.00,11.25,1
388,"Pulse Member 388",Basic,2024-03-17,16,180.00,11.25,1
59,"Pulse Member 059",Basic,2024-03-24,16,180.00,11.25,1
56,"Pulse Member 056",Basic,2024-03-03,16,180.00,11.25,1
57,"Pulse Member 057",Basic,2024-03-10,16,180.00,11.25,1
58,"Pulse Member 058",Basic,2024-03-17,16,180.00,11.25,1
246,"Pulse Member 246",Basic,2024-03-13,16,180.00,11.25,1
247,"Pulse Member 247",Basic,2024-03-20,16,180.00,11.25,1
248,"Pulse Member 248",Basic,2024-03-27,16,180.00,11.25,1
528,"Pulse Member 528",Basic,2024-03-07,16,180.00,11.25,1
106,"Pulse Member 106",Basic,2024-03-23,16,180.00,11.25,1
107,"Pulse Member 107",Basic,2024-03-30,16,180.00,11.25,1
437,"Pulse Member 437",Basic,2024-03-30,16,180.00,11.25,1
436,"Pulse Member 436",Basic,2024-03-23,16,180.00,11.25,1
2,"Maya Thompson",Basic,2024-02-03,17,180.00,10.59,1
196,"Pulse Member 196",Basic,2024-02-22,17,180.00,10.59,1
197,"Pulse Member 197",Basic,2024-02-29,17,180.00,10.59,1
288,"Pulse Member 288",Basic,2024-02-06,17,180.00,10.59,1
289,"Pulse Member 289",Basic,2024-02-13,17,180.00,10.59,1
527,"Pulse Member 527",Basic,2024-02-29,17,180.00,10.59,1
526,"Pulse Member 526",Basic,2024-02-22,17,180.00,10.59,1
99,"Pulse Member 099",Basic,2024-02-03,17,180.00,10.59,1
479,"Pulse Member 479",Basic,2024-02-23,17,180.00,10.59,1
478,"Pulse Member 478",Basic,2024-02-16,17,180.00,10.59,1
477,"Pulse Member 477",Basic,2024-02-09,17,180.00,10.59,1
476,"Pulse Member 476",Basic,2024-02-02,17,180.00,10.59,1
338,"Pulse Member 338",Basic,2024-02-26,17,180.00,10.59,1
337,"Pulse Member 337",Basic,2024-02-19,17,180.00,10.59,1
146,"Pulse Member 146",Basic,2024-02-02,17,180.00,10.59,1
147,"Pulse Member 147",Basic,2024-02-09,17,180.00,10.59,1
148,"Pulse Member 148",Basic,2024-02-16,17,180.00,10.59,1
149,"Pulse Member 149",Basic,2024-02-23,17,180.00,10.59,1
336,"Pulse Member 336",Basic,2024-02-12,17,180.00,10.59,1
239,"Pulse Member 239",Basic,2024-01-24,18,180.00,10.00,1
287,"Pulse Member 287",Basic,2024-01-30,18,180.00,10.00,1
569,"Pulse Member 569",Basic,2024-01-24,18,180.00,10.00,1
379,"Pulse Member 379",Basic,2024-01-14,18,180.00,10.00,1
378,"Pulse Member 378",Basic,2024-01-07,18,180.00,10.00,1
48,"Pulse Member 048",Basic,2024-01-07,18,180.00,10.00,1
49,"Pulse Member 049",Basic,2024-01-14,18,180.00,10.00,1
519,"Pulse Member 519",Basic,2024-01-04,18,180.00,10.00,1
286,"Pulse Member 286",Basic,2024-01-23,18,180.00,10.00,1
96,"Pulse Member 096",Basic,2024-01-13,18,180.00,10.00,1
97,"Pulse Member 097",Basic,2024-01-20,18,180.00,10.00,1
98,"Pulse Member 098",Basic,2024-01-27,18,180.00,10.00,1
236,"Pulse Member 236",Basic,2024-01-03,18,180.00,10.00,1
237,"Pulse Member 237",Basic,2024-01-10,18,180.00,10.00,1
238,"Pulse Member 238",Basic,2024-01-17,18,180.00,10.00,1
189,"Pulse Member 189",Basic,2024-01-04,18,180.00,10.00,1
138,"Pulse Member 138",Basic,2024-11-02,8,150.00,18.75,171
516,"Pulse Member 516",Basic,2024-11-08,8,150.00,18.75,171
139,"Pulse Member 139",Basic,2024-11-09,8,150.00,18.75,171
469,"Pulse Member 469",Basic,2024-11-09,8,150.00,18.75,171
468,"Pulse Member 468",Basic,2024-11-02,8,150.00,18.75,171
375,"Pulse Member 375",Student,2024-11-11,8,150.00,18.75,1
185,"Pulse Member 185",Student,2024-11-01,8,150.00,18.75,1
94,"Pulse Member 094",Student,2024-11-24,8,150.00,18.75,1
93,"Pulse Member 093",Student,2024-11-17,8,150.00,18.75,1
45,"Pulse Member 045",Student,2024-11-11,8,150.00,18.75,1
44,"Pulse Member 044",Student,2024-11-04,8,150.00,18.75,1
235,"Pulse Member 235",Student,2024-11-21,8,150.00,18.75,1
234,"Pulse Member 234",Student,2024-11-14,8,150.00,18.75,1
233,"Pulse Member 233",Student,2024-11-07,8,150.00,18.75,1
374,"Pulse Member 374",Student,2024-11-04,8,150.00,18.75,1
137,"Pulse Member 137",Basic,2024-10-26,9,150.00,16.67,171
558,"Pulse Member 558",Basic,2024-10-03,9,150.00,16.67,171
559,"Pulse Member 559",Basic,2024-10-10,9,150.00,16.67,171
87,"Pulse Member 087",Basic,2024-10-06,9,150.00,16.67,171
88,"Pulse Member 088",Basic,2024-10-13,9,150.00,16.67,171
89,"Pulse Member 089",Basic,2024-10-20,9,150.00,16.67,171
279,"Pulse Member 279",Basic,2024-10-30,9,150.00,16.67,171
323,"Pulse Member 323",Student,2024-10-08,9,150.00,16.67,1
324,"Pulse Member 324",Student,2024-10-15,9,150.00,16.67,1
325,"Pulse Member 325",Student,2024-10-22,9,150.00,16.67,1
184,"Pulse Member 184",Student,2024-10-25,9,150.00,16.67,1
275,"Pulse Member 275",Student,2024-10-02,9,150.00,16.67,1
183,"Pulse Member 183",Student,2024-10-18,9,150.00,16.67,1
135,"Pulse Member 135",Student,2024-10-12,9,150.00,16.67,1
464,"Pulse Member 464",Student,2024-10-05,9,150.00,16.67,1
465,"Pulse Member 465",Student,2024-10-12,9,150.00,16.67,1
134,"Pulse Member 134",Student,2024-10-05,9,150.00,16.67,1
373,"Pulse Member 373",Student,2024-10-28,9,150.00,16.67,1
178,"Pulse Member 178",Basic,2024-09-13,10,150.00,15.00,171
129,"Pulse Member 129",Basic,2024-08-31,10,150.00,15.00,171
557,"Pulse Member 557",Basic,2024-09-26,10,150.00,15.00,171
556,"Pulse Member 556",Basic,2024-09-19,10,150.00,15.00,171
38,"Pulse Member 038",Basic,2024-09-23,10,150.00,15.00,171
39,"Pulse Member 039",Basic,2024-09-30,10,150.00,15.00,171
177,"Pulse Member 177",Basic,2024-09-06,10,150.00,15.00,171
225,"Pulse Member 225",Student,2024-09-12,10,150.00,15.00,1
413,"Pulse Member 413",Student,2024-09-08,10,150.00,15.00,1
414,"Pulse Member 414",Student,2024-09-15,10,150.00,15.00,1
415,"Pulse Member 415",Student,2024-09-22,10,150.00,15.00,1
274,"Pulse Member 274",Student,2024-09-25,10,150.00,15.00,1
273,"Pulse Member 273",Student,2024-09-18,10,150.00,15.00,1
463,"Pulse Member 463",Student,2024-09-28,10,150.00,15.00,1
133,"Pulse Member 133",Student,2024-09-28,10,150.00,15.00,1
35,"Pulse Member 035",Student,2024-09-02,10,150.00,15.00,1
224,"Pulse Member 224",Student,2024-09-05,10,150.00,15.00,1
365,"Pulse Member 365",Student,2024-09-02,10,150.00,15.00,1
599,"Pulse Member 599",Basic,2024-08-21,11,150.00,13.64,171
